Date,JPM,V,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,V_ret,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2021-01-15,122.09007263183594,194.0108642578125,13.361040190855775,-3.0680084403481884,8.918641212436354,1.842102203673686,-1.0,-0.017921805965515403,-0.0013377602788875453,-1.0,-0.5382568170927516,0.4617431829072485,0.009028832546411786,0.0,0.0,0.009028832546411786,-0.009629783122201474,1.1701760646303436,1.0597163155657536
2021-01-19,121.56169891357422,194.07826232910156,12.77484909068535,-1.828495386066281,9.323183645854266,1.566347401431408,-1.0,-0.004327736947581595,0.000347393284117814,-1.0,-0.5382568170927516,0.4617431829072485,0.0024898403953491316,0.0,0.0,0.0024898403953491316,-0.0019901718317318906,1.173089616265731,1.057607298004888
2021-01-20,119.7387924194336,198.2647247314453,7.360589150766387,-0.8285324603705447,9.174031452526947,0.8926415451607455,-1.0,-0.014995730648982186,0.021571001059586425,-1.0,-0.5382568170927516,0.4617431829072485,0.01803181693685044,0.0,0.0,0.01803181693685044,0.0032876352053021196,1.194242553476755,1.0610843249911934
2021-01-21,118.7348861694336,197.4273681640625,7.075008566830363,-0.13320754702222787,9.22198499921978,0.7816339014282107,-1.0,-0.008384135414389426,-0.00422342687796351,-1.0,-0.5382568170927516,0.4617431829072485,0.0025626794728169765,0.0,0.0,0.0025626794728169765,-0.006303781146176468,1.1973030143541143,1.0543954816288106
2021-01-22,117.81901550292969,194.42477416992188,8.734910772690782,0.5964442341613051,9.321949618622106,0.8730433945139082,-1.0,-0.007713576826923196,-0.015208600621396395,-1.0,-0.5382568170927516,0.4617431829072485,-0.0028705823472286425,0.0,0.0,-0.0028705823472286425,-0.011461088724159796,1.1938660574568258,1.0423109614635095
2021-01-25,116.34840393066406,193.4237823486328,8.122999239047246,1.1245707835971004,9.439362367440676,0.7414090256339689,-1.0,-0.012481954343176893,-0.00514847876543878,-1.0,-0.5382568170927516,0.4617431829072485,0.004341222043571358,0.0,0.0,0.004341222043571358,-0.008815216554307836,1.199048895102529,1.03312276462128
2021-01-26,115.87286376953125,194.4150848388672,6.797071024239628,1.750798388131716,9.376098112092047,0.5382060400583799,-1.0,-0.004087208290508237,0.005125028981429081,-1.0,-0.5382568170927516,0.4617431829072485,0.004566414919621028,0.0,0.0,0.004566414919621028,0.0005189103454604216,1.2045242498664803,1.0336588627119725
2021-01-27,112.596923828125,187.6397705078125,9.333329098858101,2.6302227707698007,9.211608674589337,0.727680317834076,-1.0,-0.028271847564948716,-0.034849735742831456,-1.0,-0.5382568170927516,0.4617431829072485,-0.0008741132217307442,0.0,0.0,-0.0008741132217307442,-0.031560791653890086,1.2034713592937767,1.001035770704723
2021-01-28,114.57833099365234,190.76754760742188,8.631575164450581,3.560811627525733,8.801598117713217,0.5761185036067411,-1.0,0.017597347229058258,0.016669052041284438,-1.0,-0.5382568170927516,0.4617431829072485,-0.001775070963199607,0.0,0.0,-0.001775070963199607,0.017133199635171348,1.201335112228852,1.0181867164061547
2021-01-29,113.31023406982422,185.98446655273438,11.46664052331063,4.782558092978489,8.050276689031955,0.8302922605677423,-1.0,-0.011067510870780395,-0.025072823520961407,-1.0,-0.5382568170927516,0.4617431829072485,-0.005620042162594761,0.0,0.0,-0.005620042162594761,-0.0180701671958709,1.1945835582467204,0.9997879122040806
2021-02-01,114.1468276977539,190.9022979736328,8.084476373954928,5.775715672220755,7.064489093436558,0.326812126283723,0.0,0.0073832133063476135,0.026442162144245662,-1.0,-0.5382568170927516,0.4617431829072485,0.008235423217242029,1.0,0.0005,0.007735423217242028,0.016912687725296638,1.2038241676381176,1.0166970129547146
2021-02-02,117.6605453491211,194.99253845214844,8.089384480453091,6.781535549723145,5.695869034264374,0.22961358887684752,0.0,0.030782438042615157,0.02142583154803379,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.026104134795324474,1.2038241676381176,1.043237008826888
2021-02-03,119.00786590576172,193.78955078125,10.468687054820961,7.742221705048746,4.415748489937736,0.6174412686739454,0.0,0.01145091205078863,-0.006169403611275381,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0026407542197566247,1.2038241676381176,1.045991941360154
2021-02-04,121.74662780761719,201.3828887939453,6.693509975261989,8.176345530144502,3.7913500010753296,-0.391110173015401,0.0,0.023013284718711002,0.03918342336871761,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.031098354043714305,1.2038241676381176,1.0785205690794442
2021-02-05,121.50883483886719,200.92092895507812,6.852008887265086,8.477301139921295,3.3960387365479647,-0.47858472141819564,0.0,-0.0019531790985271025,-0.0022939378893300777,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.00212355849392859,1.2038241676381176,1.076230267564099
2021-02-08,123.41101837158203,199.11160278320312,10.306321439044424,9.012066545584698,2.6964233402984044,0.4799895009499863,0.0,0.015654693218294158,-0.009005165272153004,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.003324763973070577,1.2038241676381176,1.0798084791844242
