Date,JPM,MA,rolling_intercept,rolling_beta,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,MA_ret,beta_used,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2022-03-04,121.18294525146484,323.04180908203125,119.81577633762434,0.054272457626384635,-16.16510398111467,-7.954272044144842,5.54398151454581,-1.481035229902367,0.0,-0.02812930219011689,-0.03000057272062917,0.054272457626384635,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02906493745537303,1.4921361357571696,1.4922114062614107
2022-03-07,116.50334167480469,305.61810302734375,100.32535369782018,0.1081245782658494,-16.866840523255945,-8.012782586269113,5.630707412802843,-1.572459246746667,0.0,-0.03861602444922907,-0.0539363808796125,0.1081245782658494,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.046276202664420785,1.4921361357571696,1.4231575288070972
2022-03-08,115.68282318115234,306.9951477050781,76.7642397183233,0.17352908638976305,-14.35400404452352,-7.995693055972086,5.609927760653477,-1.1334033627218725,0.0,-0.007042875181577646,0.004505769337921572,0.17352908638976305,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0012685529218280367,1.4921361357571696,1.4213521781657075
2022-03-09,120.3173599243164,320.4731750488281,58.9973082711974,0.22269820261323997,-10.04874841601324,-7.889174805332916,5.536693320736837,-0.39004754021537946,0.0,0.04006244501749978,0.043903063108664986,0.22269820261323997,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.041982754063082384,1.4921361357571696,1.4810244570986648
2022-03-10,118.89275360107422,317.01580810546875,50.15013368039527,0.2468861025113222,-9.524177376957454,-7.822710463054804,5.503496598549879,-0.3091610730441753,0.0,-0.01184040544222642,-0.010788319312006744,0.2468861025113222,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.011314362377116582,1.4921361357571696,1.4642676097016782
2022-03-11,116.2148208618164,317.2110595703125,40.90434049119786,0.27225120420607984,-11.050612584885556,-7.738041955056061,5.430757636832775,-0.6099647326116713,0.0,-0.02252393571641209,0.0006159045064995095,0.27225120420607984,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.010954015604956291,1.4921361357571696,1.4482279994551739
2022-03-14,117.36892700195312,320.92242431640625,29.291426997544136,0.3041314106442369,-9.525089610307987,-7.63286669204801,5.361857716311703,-0.35290435113626867,0.0,0.009930799975237159,0.011699985338219587,0.3041314106442369,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.010815392656728373,1.4921361357571696,1.46389115392575
2022-03-15,119.45177459716797,327.1828308105469,21.38212534702663,0.3256802521392324,-8.487337583865383,-7.577898166701249,5.343729343408002,-0.17018815114317384,0.0,0.017746158616412933,0.019507538332592,0.3256802521392324,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.018626848474502467,1.4921361357571696,1.4911588326330896
2022-03-16,124.78956604003906,336.6369323730469,16.154180981357307,0.33964280718254436,-5.70092765382023,-7.52845453878638,5.3543490676003485,0.3413163508566673,0.0,0.04468574419151117,0.028895469664709683,0.33964280718254436,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.036790606928110425,1.4921361357571696,1.5460194711118733
2022-03-17,126.36746215820312,338.3559265136719,12.817887522420172,0.3484436259661534,-4.348391265778218,-7.4189861220401685,5.385629194587587,0.5701459839358818,0.0,0.012644455528099119,0.005106374183329709,0.3484436259661534,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.008875414855714414,1.4921361357571696,1.5597410352930035
